class_code,college_name,department_name,course_name,professor,class_time,class_type
BBC3003-41,생명공학대학,바이오메카트로닉스학과,"차세대바이오헬스캡스톤디자인
Bio-health Capstone Design",송민경,"수18:00-19:15【62355】,수19:30-20:45【62355】",일반수업
EBM2030-41,생명공학대학,바이오메카트로닉스학과,"동역학
Dynamics",문정환,"화15:00-16:15【61209】,목16:30-17:45【61209】",일반수업
EBM2031-41,생명공학대학,바이오메카트로닉스학과,"컴퓨터프로그래밍
Computer programming",민경기,"금14:00-14:50【62157B】,금15:00-15:50【62157B】",일반수업
EBM2032-41,생명공학대학,바이오메카트로닉스학과,"컴퓨터프로그래밍실습
Computer programming practice",민경기,"금16:00-16:50【62157B】,금17:00-17:50【62157B】",일반수업
EBM2035-41,생명공학대학,바이오메카트로닉스학과,"바이오메카트로닉스연구프로젝트
Biomechatronics Research Project",김형건,"화16:30-17:45【61209】,목15:00-16:15【61209】",일반수업
EBM2038-41,생명공학대학,바이오메카트로닉스학과,"공업수학II
Engineering Mathematics II",최문택,"월12:00-13:15【61209】,수13:30-14:45【61209】",국제어수업
EBM2041-41,생명공학대학,바이오메카트로닉스학과,"전자기학II
Electromagnetism(II)",박주형,"화18:00-19:15【61209】,화19:30-20:45【61209】",일반수업
EBM3014-41,생명공학대학,바이오메카트로닉스학과,"바이오계측공학
Measurement and Instrumentation for Bio-System",박진성,"수15:00-15:50【61106A】,수16:00-16:50【61106A】",일반수업
EBM3066-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계
Design of Bio-System",이재윤,"금09:00-09:50【61209】,금10:00-10:50【61209】",일반수업
EBM3067-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계실습
Experimental design of Bio-System",이재윤,"금11:00-11:50【61209】,금12:00-12:50【61209】",일반수업
EBM2035-41,생명공학대학,바이오메카트로닉스학과,"바이오메카트로닉스연구프로젝트
Biomechatronics Research Project",김형건,"화16:30-17:45【61209】,목15:00-16:15【61209】",일반수업
EBM2038-41,생명공학대학,바이오메카트로닉스학과,"공업수학II
Engineering Mathematics II",최문택,"월12:00-13:15【61209】,수13:30-14:45【61209】",국제어수업
EBM2041-41,생명공학대학,바이오메카트로닉스학과,"전자기학II
Electromagnetism(II)",박주형,"화18:00-19:15【61209】,화19:30-20:45【61209】",일반수업
EBM3014-41,생명공학대학,바이오메카트로닉스학과,"바이오계측공학
Measurement and Instrumentation for Bio-System",박진성,"수15:00-15:50【61106A】,수16:00-16:50【61106A】",일반수업
EBM3015-41,생명공학대학,바이오메카트로닉스학과,"바이오계측공학실습
Laboratory of Measurement and Instrumentation for Bio-System",박진성,"수17:00-17:50【61106A】,수18:00-18:50【61106A】",일반수업
EBM3021-41,생명공학대학,바이오메카트로닉스학과,"생체재료
Introduction of Biomaterial",이재윤,"목09:00-10:15【61209】,목10:30-11:45【61209】",일반수업
EBM3066-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계
Design of Bio-System",이재윤,"금09:00-09:50【61209】,금10:00-10:50【61209】",일반수업
EBM3067-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계실습
Experimental design of Bio-System",이재윤,"금11:00-11:50【61209】,금12:00-12:50【61209】",일반수업
EBM3074-41,생명공학대학,바이오메카트로닉스학과,"심혈관생체역학
Cardiovascular Biomechanics",김형건,"화12:00-13:15【61209】,목13:30-14:45【61209】",일반수업
EBM3090-41,생명공학대학,바이오메카트로닉스학과,"자동제어
Automatic Control",신기영,"목18:00-19:15【62157B】,목19:30-20:45【62157B】",일반수업
EBM3095-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍
VR Programming",김형건,"월15:00-15:50【62157B】,월16:00-16:50【62157B】",일반수업
EBM3096-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍실습
Experimental VR Programming",김형건,"월17:00-17:50【62157B】,월18:00-18:50【62157B】",일반수업
EBM3015-41,생명공학대학,바이오메카트로닉스학과,"바이오계측공학실습
Laboratory of Measurement and Instrumentation for Bio-System",박진성,"수17:00-17:50【61106A】,수18:00-18:50【61106A】",일반수업
EBM3021-41,생명공학대학,바이오메카트로닉스학과,"생체재료
Introduction of Biomaterial",이재윤,"목09:00-10:15【61209】,목10:30-11:45【61209】",일반수업
EBM3066-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계
Design of Bio-System",이재윤,"금09:00-09:50【61209】,금10:00-10:50【61209】",일반수업
EBM3067-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계실습
Experimental design of Bio-System",이재윤,"금11:00-11:50【61209】,금12:00-12:50【61209】",일반수업
EBM3074-41,생명공학대학,바이오메카트로닉스학과,"심혈관생체역학
Cardiovascular Biomechanics",김형건,"화12:00-13:15【61209】,목13:30-14:45【61209】",일반수업
EBM3090-41,생명공학대학,바이오메카트로닉스학과,"자동제어
Automatic Control",신기영,"목18:00-19:15【62157B】,목19:30-20:45【62157B】",일반수업
EBM3095-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍
VR Programming",김형건,"월15:00-15:50【62157B】,월16:00-16:50【62157B】",일반수업
EBM3096-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍실습
Experimental VR Programming",김형건,"월17:00-17:50【62157B】,월18:00-18:50【62157B】",일반수업
EBM3099-41,생명공학대학,바이오메카트로닉스학과,"회로이론
Engineering Circuit Analysis",김우창,"금18:00-19:15【61209】,금19:30-20:45【61209】",일반수업
FBT3068-41,생명공학대학,바이오메카트로닉스학과,"바이오제품개발학
Bio-product development",김관배,"금09:00-10:15【61208】,금10:30-11:45【61208】",일반수업
EBM3066-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계
Design of Bio-System",이재윤,"금09:00-09:50【61209】,금10:00-10:50【61209】",일반수업
EBM3067-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계실습
Experimental design of Bio-System",이재윤,"금11:00-11:50【61209】,금12:00-12:50【61209】",일반수업
EBM3074-41,생명공학대학,바이오메카트로닉스학과,"심혈관생체역학
Cardiovascular Biomechanics",김형건,"화12:00-13:15【61209】,목13:30-14:45【61209】",일반수업
EBM3090-41,생명공학대학,바이오메카트로닉스학과,"자동제어
Automatic Control",신기영,"목18:00-19:15【62157B】,목19:30-20:45【62157B】",일반수업
EBM3095-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍
VR Programming",김형건,"월15:00-15:50【62157B】,월16:00-16:50【62157B】",일반수업
EBM3096-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍실습
Experimental VR Programming",김형건,"월17:00-17:50【62157B】,월18:00-18:50【62157B】",일반수업
EBM3099-41,생명공학대학,바이오메카트로닉스학과,"회로이론
Engineering Circuit Analysis",김우창,"금18:00-19:15【61209】,금19:30-20:45【61209】",일반수업
FBT3068-41,생명공학대학,바이오메카트로닉스학과,"바이오제품개발학
Bio-product development",김관배,"금09:00-10:15【61208】,금10:30-11:45【61208】",일반수업
EBM3066-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계
Design of Bio-System",이재윤,"금09:00-09:50【61209】,금10:00-10:50【61209】",일반수업
EBM3067-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계실습
Experimental design of Bio-System",이재윤,"금11:00-11:50【61209】,금12:00-12:50【61209】",일반수업
EBM3074-41,생명공학대학,바이오메카트로닉스학과,"심혈관생체역학
Cardiovascular Biomechanics",김형건,"화12:00-13:15【61209】,목13:30-14:45【61209】",일반수업
EBM3090-41,생명공학대학,바이오메카트로닉스학과,"자동제어
Automatic Control",신기영,"목18:00-19:15【62157B】,목19:30-20:45【62157B】",일반수업
EBM3095-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍
VR Programming",김형건,"월15:00-15:50【62157B】,월16:00-16:50【62157B】",일반수업
EBM3096-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍실습
Experimental VR Programming",김형건,"월17:00-17:50【62157B】,월18:00-18:50【62157B】",일반수업
EBM3099-41,생명공학대학,바이오메카트로닉스학과,"회로이론
Engineering Circuit Analysis",김우창,"금18:00-19:15【61209】,금19:30-20:45【61209】",일반수업
FBT3068-41,생명공학대학,바이오메카트로닉스학과,"바이오제품개발학
Bio-product development",김관배,"금09:00-10:15【61208】,금10:30-11:45【61208】",일반수업
EBM3066-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계
Design of Bio-System",이재윤,"금09:00-09:50【61209】,금10:00-10:50【61209】",일반수업
EBM3067-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계실습
Experimental design of Bio-System",이재윤,"금11:00-11:50【61209】,금12:00-12:50【61209】",일반수업
EBM3074-41,생명공학대학,바이오메카트로닉스학과,"심혈관생체역학
Cardiovascular Biomechanics",김형건,"화12:00-13:15【61209】,목13:30-14:45【61209】",일반수업
EBM3090-41,생명공학대학,바이오메카트로닉스학과,"자동제어
Automatic Control",신기영,"목18:00-19:15【62157B】,목19:30-20:45【62157B】",일반수업
EBM3095-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍
VR Programming",김형건,"월15:00-15:50【62157B】,월16:00-16:50【62157B】",일반수업
EBM3096-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍실습
Experimental VR Programming",김형건,"월17:00-17:50【62157B】,월18:00-18:50【62157B】",일반수업
EBM3099-41,생명공학대학,바이오메카트로닉스학과,"회로이론
Engineering Circuit Analysis",김우창,"금18:00-19:15【61209】,금19:30-20:45【61209】",일반수업
FBT3068-41,생명공학대학,바이오메카트로닉스학과,"바이오제품개발학
Bio-product development",김관배,"금09:00-10:15【61208】,금10:30-11:45【61208】",일반수업
EBM3066-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계
Design of Bio-System",이재윤,"금09:00-09:50【61209】,금10:00-10:50【61209】",일반수업
EBM3067-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계실습
Experimental design of Bio-System",이재윤,"금11:00-11:50【61209】,금12:00-12:50【61209】",일반수업
EBM3074-41,생명공학대학,바이오메카트로닉스학과,"심혈관생체역학
Cardiovascular Biomechanics",김형건,"화12:00-13:15【61209】,목13:30-14:45【61209】",일반수업
EBM3090-41,생명공학대학,바이오메카트로닉스학과,"자동제어
Automatic Control",신기영,"목18:00-19:15【62157B】,목19:30-20:45【62157B】",일반수업
EBM3095-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍
VR Programming",김형건,"월15:00-15:50【62157B】,월16:00-16:50【62157B】",일반수업
EBM3096-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍실습
Experimental VR Programming",김형건,"월17:00-17:50【62157B】,월18:00-18:50【62157B】",일반수업
EBM3099-41,생명공학대학,바이오메카트로닉스학과,"회로이론
Engineering Circuit Analysis",김우창,"금18:00-19:15【61209】,금19:30-20:45【61209】",일반수업
FBT3068-41,생명공학대학,바이오메카트로닉스학과,"바이오제품개발학
Bio-product development",김관배,"금09:00-10:15【61208】,금10:30-11:45【61208】",일반수업
EBM3066-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계
Design of Bio-System",이재윤,"금09:00-09:50【61209】,금10:00-10:50【61209】",일반수업
EBM3067-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계실습
Experimental design of Bio-System",이재윤,"금11:00-11:50【61209】,금12:00-12:50【61209】",일반수업
EBM3074-41,생명공학대학,바이오메카트로닉스학과,"심혈관생체역학
Cardiovascular Biomechanics",김형건,"화12:00-13:15【61209】,목13:30-14:45【61209】",일반수업
EBM3090-41,생명공학대학,바이오메카트로닉스학과,"자동제어
Automatic Control",신기영,"목18:00-19:15【62157B】,목19:30-20:45【62157B】",일반수업
EBM3095-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍
VR Programming",김형건,"월15:00-15:50【62157B】,월16:00-16:50【62157B】",일반수업
EBM3096-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍실습
Experimental VR Programming",김형건,"월17:00-17:50【62157B】,월18:00-18:50【62157B】",일반수업
EBM3099-41,생명공학대학,바이오메카트로닉스학과,"회로이론
Engineering Circuit Analysis",김우창,"금18:00-19:15【61209】,금19:30-20:45【61209】",일반수업
FBT3068-41,생명공학대학,바이오메카트로닉스학과,"바이오제품개발학
Bio-product development",김관배,"금09:00-10:15【61208】,금10:30-11:45【61208】",일반수업
EBM3066-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계
Design of Bio-System",이재윤,"금09:00-09:50【61209】,금10:00-10:50【61209】",일반수업
EBM3067-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계실습
Experimental design of Bio-System",이재윤,"금11:00-11:50【61209】,금12:00-12:50【61209】",일반수업
EBM3074-41,생명공학대학,바이오메카트로닉스학과,"심혈관생체역학
Cardiovascular Biomechanics",김형건,"화12:00-13:15【61209】,목13:30-14:45【61209】",일반수업
EBM3090-41,생명공학대학,바이오메카트로닉스학과,"자동제어
Automatic Control",신기영,"목18:00-19:15【62157B】,목19:30-20:45【62157B】",일반수업
EBM3095-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍
VR Programming",김형건,"월15:00-15:50【62157B】,월16:00-16:50【62157B】",일반수업
EBM3096-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍실습
Experimental VR Programming",김형건,"월17:00-17:50【62157B】,월18:00-18:50【62157B】",일반수업
EBM3099-41,생명공학대학,바이오메카트로닉스학과,"회로이론
Engineering Circuit Analysis",김우창,"금18:00-19:15【61209】,금19:30-20:45【61209】",일반수업
FBT3068-41,생명공학대학,바이오메카트로닉스학과,"바이오제품개발학
Bio-product development",김관배,"금09:00-10:15【61208】,금10:30-11:45【61208】",일반수업
EBM3066-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계
Design of Bio-System",이재윤,"금09:00-09:50【61209】,금10:00-10:50【61209】",일반수업
EBM3067-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계실습
Experimental design of Bio-System",이재윤,"금11:00-11:50【61209】,금12:00-12:50【61209】",일반수업
EBM3074-41,생명공학대학,바이오메카트로닉스학과,"심혈관생체역학
Cardiovascular Biomechanics",김형건,"화12:00-13:15【61209】,목13:30-14:45【61209】",일반수업
EBM3090-41,생명공학대학,바이오메카트로닉스학과,"자동제어
Automatic Control",신기영,"목18:00-19:15【62157B】,목19:30-20:45【62157B】",일반수업
EBM3095-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍
VR Programming",김형건,"월15:00-15:50【62157B】,월16:00-16:50【62157B】",일반수업
EBM3096-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍실습
Experimental VR Programming",김형건,"월17:00-17:50【62157B】,월18:00-18:50【62157B】",일반수업
EBM3099-41,생명공학대학,바이오메카트로닉스학과,"회로이론
Engineering Circuit Analysis",김우창,"금18:00-19:15【61209】,금19:30-20:45【61209】",일반수업
FBT3068-41,생명공학대학,바이오메카트로닉스학과,"바이오제품개발학
Bio-product development",김관배,"금09:00-10:15【61208】,금10:30-11:45【61208】",일반수업
EBM3066-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계
Design of Bio-System",이재윤,"금09:00-09:50【61209】,금10:00-10:50【61209】",일반수업
EBM3067-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계실습
Experimental design of Bio-System",이재윤,"금11:00-11:50【61209】,금12:00-12:50【61209】",일반수업
EBM3074-41,생명공학대학,바이오메카트로닉스학과,"심혈관생체역학
Cardiovascular Biomechanics",김형건,"화12:00-13:15【61209】,목13:30-14:45【61209】",일반수업
EBM3090-41,생명공학대학,바이오메카트로닉스학과,"자동제어
Automatic Control",신기영,"목18:00-19:15【62157B】,목19:30-20:45【62157B】",일반수업
EBM3095-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍
VR Programming",김형건,"월15:00-15:50【62157B】,월16:00-16:50【62157B】",일반수업
EBM3096-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍실습
Experimental VR Programming",김형건,"월17:00-17:50【62157B】,월18:00-18:50【62157B】",일반수업
EBM3099-41,생명공학대학,바이오메카트로닉스학과,"회로이론
Engineering Circuit Analysis",김우창,"금18:00-19:15【61209】,금19:30-20:45【61209】",일반수업
FBT3068-41,생명공학대학,바이오메카트로닉스학과,"바이오제품개발학
Bio-product development",김관배,"금09:00-10:15【61208】,금10:30-11:45【61208】",일반수업
EBM3066-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계
Design of Bio-System",이재윤,"금09:00-09:50【61209】,금10:00-10:50【61209】",일반수업
EBM3067-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계실습
Experimental design of Bio-System",이재윤,"금11:00-11:50【61209】,금12:00-12:50【61209】",일반수업
EBM3074-41,생명공학대학,바이오메카트로닉스학과,"심혈관생체역학
Cardiovascular Biomechanics",김형건,"화12:00-13:15【61209】,목13:30-14:45【61209】",일반수업
EBM3090-41,생명공학대학,바이오메카트로닉스학과,"자동제어
Automatic Control",신기영,"목18:00-19:15【62157B】,목19:30-20:45【62157B】",일반수업
EBM3095-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍
VR Programming",김형건,"월15:00-15:50【62157B】,월16:00-16:50【62157B】",일반수업
EBM3096-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍실습
Experimental VR Programming",김형건,"월17:00-17:50【62157B】,월18:00-18:50【62157B】",일반수업
EBM3099-41,생명공학대학,바이오메카트로닉스학과,"회로이론
Engineering Circuit Analysis",김우창,"금18:00-19:15【61209】,금19:30-20:45【61209】",일반수업
FBT3068-41,생명공학대학,바이오메카트로닉스학과,"바이오제품개발학
Bio-product development",김관배,"금09:00-10:15【61208】,금10:30-11:45【61208】",일반수업
EBM3066-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계
Design of Bio-System",이재윤,"금09:00-09:50【61209】,금10:00-10:50【61209】",일반수업
EBM3067-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계실습
Experimental design of Bio-System",이재윤,"금11:00-11:50【61209】,금12:00-12:50【61209】",일반수업
EBM3074-41,생명공학대학,바이오메카트로닉스학과,"심혈관생체역학
Cardiovascular Biomechanics",김형건,"화12:00-13:15【61209】,목13:30-14:45【61209】",일반수업
EBM3090-41,생명공학대학,바이오메카트로닉스학과,"자동제어
Automatic Control",신기영,"목18:00-19:15【62157B】,목19:30-20:45【62157B】",일반수업
EBM3095-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍
VR Programming",김형건,"월15:00-15:50【62157B】,월16:00-16:50【62157B】",일반수업
EBM3096-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍실습
Experimental VR Programming",김형건,"월17:00-17:50【62157B】,월18:00-18:50【62157B】",일반수업
EBM3099-41,생명공학대학,바이오메카트로닉스학과,"회로이론
Engineering Circuit Analysis",김우창,"금18:00-19:15【61209】,금19:30-20:45【61209】",일반수업
FBT3068-41,생명공학대학,바이오메카트로닉스학과,"바이오제품개발학
Bio-product development",김관배,"금09:00-10:15【61208】,금10:30-11:45【61208】",일반수업
EBM3066-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계
Design of Bio-System",이재윤,"금09:00-09:50【61209】,금10:00-10:50【61209】",일반수업
EBM3067-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계실습
Experimental design of Bio-System",이재윤,"금11:00-11:50【61209】,금12:00-12:50【61209】",일반수업
EBM3074-41,생명공학대학,바이오메카트로닉스학과,"심혈관생체역학
Cardiovascular Biomechanics",김형건,"화12:00-13:15【61209】,목13:30-14:45【61209】",일반수업
EBM3090-41,생명공학대학,바이오메카트로닉스학과,"자동제어
Automatic Control",신기영,"목18:00-19:15【62157B】,목19:30-20:45【62157B】",일반수업
EBM3095-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍
VR Programming",김형건,"월15:00-15:50【62157B】,월16:00-16:50【62157B】",일반수업
EBM3096-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍실습
Experimental VR Programming",김형건,"월17:00-17:50【62157B】,월18:00-18:50【62157B】",일반수업
EBM3099-41,생명공학대학,바이오메카트로닉스학과,"회로이론
Engineering Circuit Analysis",김우창,"금18:00-19:15【61209】,금19:30-20:45【61209】",일반수업
FBT3068-41,생명공학대학,바이오메카트로닉스학과,"바이오제품개발학
Bio-product development",김관배,"금09:00-10:15【61208】,금10:30-11:45【61208】",일반수업
EBM3066-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계
Design of Bio-System",이재윤,"금09:00-09:50【61209】,금10:00-10:50【61209】",일반수업
EBM3067-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계실습
Experimental design of Bio-System",이재윤,"금11:00-11:50【61209】,금12:00-12:50【61209】",일반수업
EBM3074-41,생명공학대학,바이오메카트로닉스학과,"심혈관생체역학
Cardiovascular Biomechanics",김형건,"화12:00-13:15【61209】,목13:30-14:45【61209】",일반수업
EBM3090-41,생명공학대학,바이오메카트로닉스학과,"자동제어
Automatic Control",신기영,"목18:00-19:15【62157B】,목19:30-20:45【62157B】",일반수업
EBM3095-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍
VR Programming",김형건,"월15:00-15:50【62157B】,월16:00-16:50【62157B】",일반수업
EBM3096-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍실습
Experimental VR Programming",김형건,"월17:00-17:50【62157B】,월18:00-18:50【62157B】",일반수업
EBM3099-41,생명공학대학,바이오메카트로닉스학과,"회로이론
Engineering Circuit Analysis",김우창,"금18:00-19:15【61209】,금19:30-20:45【61209】",일반수업
FBT3068-41,생명공학대학,바이오메카트로닉스학과,"바이오제품개발학
Bio-product development",김관배,"금09:00-10:15【61208】,금10:30-11:45【61208】",일반수업
EBM3066-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계
Design of Bio-System",이재윤,"금09:00-09:50【61209】,금10:00-10:50【61209】",일반수업
EBM3067-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계실습
Experimental design of Bio-System",이재윤,"금11:00-11:50【61209】,금12:00-12:50【61209】",일반수업
EBM3074-41,생명공학대학,바이오메카트로닉스학과,"심혈관생체역학
Cardiovascular Biomechanics",김형건,"화12:00-13:15【61209】,목13:30-14:45【61209】",일반수업
EBM3090-41,생명공학대학,바이오메카트로닉스학과,"자동제어
Automatic Control",신기영,"목18:00-19:15【62157B】,목19:30-20:45【62157B】",일반수업
EBM3095-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍
VR Programming",김형건,"월15:00-15:50【62157B】,월16:00-16:50【62157B】",일반수업
EBM3096-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍실습
Experimental VR Programming",김형건,"월17:00-17:50【62157B】,월18:00-18:50【62157B】",일반수업
EBM3099-41,생명공학대학,바이오메카트로닉스학과,"회로이론
Engineering Circuit Analysis",김우창,"금18:00-19:15【61209】,금19:30-20:45【61209】",일반수업
FBT3068-41,생명공학대학,바이오메카트로닉스학과,"바이오제품개발학
Bio-product development",김관배,"금09:00-10:15【61208】,금10:30-11:45【61208】",일반수업
EBM3066-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계
Design of Bio-System",이재윤,"금09:00-09:50【61209】,금10:00-10:50【61209】",일반수업
EBM3067-41,생명공학대학,바이오메카트로닉스학과,"바이오-시스템설계실습
Experimental design of Bio-System",이재윤,"금11:00-11:50【61209】,금12:00-12:50【61209】",일반수업
EBM3074-41,생명공학대학,바이오메카트로닉스학과,"심혈관생체역학
Cardiovascular Biomechanics",김형건,"화12:00-13:15【61209】,목13:30-14:45【61209】",일반수업
EBM3090-41,생명공학대학,바이오메카트로닉스학과,"자동제어
Automatic Control",신기영,"목18:00-19:15【62157B】,목19:30-20:45【62157B】",일반수업
EBM3095-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍
VR Programming",김형건,"월15:00-15:50【62157B】,월16:00-16:50【62157B】",일반수업
EBM3096-41,생명공학대학,바이오메카트로닉스학과,"VR프로그래밍실습
Experimental VR Programming",김형건,"월17:00-17:50【62157B】,월18:00-18:50【62157B】",일반수업
